DMR_ID;CA;ECO;T_DEM_LIB_CLIENT;DATE_DECISION;RESULTAT_SIMPLIFIE;SUITE_DONNEE_SIMPLIFIEE
13286209;5477,76;30432;CNIT Médical;15-02-2021;POSITIF;Pas Appel
13293747;11911,35;79409;CNIT Médical;07-06-2021;POSITIF;Pas Appel
13294599;10972,94;49877;TJ;08-03-2021;POSITIF;Pas Appel
13302874;11037,75;44151;CNIT Médical;05-07-2021;POSITIF;Pas Appel
13313224;12600;36000;CNIT Médical;06-05-2021;NEGATIF;Pas Appel
13316495;21073,5;84294;CNIT Médical;14-09-2021;NEGATIF;Pas Appel
13321293;40386,5;115390;CNIT Médical;24-09-2021;NEGATIF;Pas Appel
13321507;21212,34;73146;TJ Médical;27-05-2021;POSITIF;Pas Appel
13322124;21537,9;71793;CNIT Médical;18-05-2021;NEGATIF;Pas Appel
13327724;1864,2;6214;TJ;19-02-2021;POSITIF;Pas Appel
13329353;37297,8;124326;CNIT Médical;20-04-2021;NEGATIF;Pas Appel
13332273;20584,2;68614;CNIT Médical;28-05-2021;NEGATIF;Pas Appel
13338264;10436,4;34788;CNIT Médical;05-04-2022;POSITIF;Pas Appel
13345647;2352;6720;TJ;02-02-2022;POSITIF;Pas Appel
13350355;51610,72;184324;CNIT Médical;16-03-2021;POSITIF;Pas Appel
13360355;13410;67050;CNIT Médical;15-02-2022;POSITIF;Pas Appel
13370484;5325,32;24206;TJ Médical;27-05-2021;POSITIF;Pas Appel
13373407;17362,84;78922;CNIT Médical;07-07-2021;POSITIF;Pas Appel
13377591;21146,65;60419;CNIT Médical;14-02-2022;NEGATIF;Pas Appel
13377848;16593,15;47409;TJ;28-04-2021;NEGATIF;Pas Appel
13378736;18760,98;89338;CNIT Médical;21-05-2021;POSITIF;Pas Appel
13378745;20729,24;74033;CNIT Médical;25-01-2021;POSITIF;Pas Appel
13378778;11250;37500;CNIT Médical;07-01-2021;POSITIF;Pas Appel
13384214;;;CNIT Médical;09-09-2021;POSITIF;Pas Appel
13384379;13811,85;51155;CNIT Médical;21-04-2021;NEGATIF;Pas Appel
13387107;24139,2;80464;CNIT Médical;21-04-2021;NEGATIF;Pas Appel
13390270;15750;63000;CNIT Médical;21-04-2021;NEGATIF;Pas Appel
13395787;10022,46;47726;TJ Médical;21-06-2021;POSITIF;Pas Appel
13397006;12807,375;62475;CNIT Médical;12-07-2021;NEGATIF;Pas Appel
13397192;26310,55;75173;CNIT Médical;06-04-2021;POSITIF;Pas Appel
13397397;16441,5;54805;CNIT Médical;07-06-2022;POSITIF;Pas Appel
13398877;23047;115235;CNIT Médical;25-10-2021;POSITIF;Pas Appel
13407006;6491,62;38186;CNIT Médical;03-05-2022;POSITIF;Pas Appel
13412683;4799,3;21815;CNIT Médical;31-03-2021;POSITIF;Pas Appel
13414377;18481,75;73927;CNIT Médical;17-05-2022;POSITIF;Pas Appel
13418421;22282,24;139264;CNIT Médical;12-05-2021;NEGATIF;Pas Appel
13418669;9620,64;60129;CNIT Médical;22-04-2021;NEGATIF;Pas Appel
13425414;22153,6;63296;CNIT Médical;22-04-2021;POSITIF;Pas Appel
13434933;5250;15000;CNIT Médical;17-08-2021;NEGATIF;Pas Appel
13435448;0;0;CNIT Médical;30-09-2021;NEGATIF;Pas Appel
13444435;5476,5;21906;CNIT Médical;29-03-2022;POSITIF;Pas Appel
13444823;27265,11;160383;CNIT Médical;06-12-2021;POSITIF;Pas Appel
13449602;0;0;CNIT Médical;04-05-2021;POSITIF;Pas Appel
13453225;19665,72;72836;CNIT Médical;06-07-2021;POSITIF;Pas Appel
13466039;5848,92;20889;CNIT Médical;25-02-2021;POSITIF;Pas Appel
13477252;13875,6;46252;TJ;12-05-2022;NEGATIF;Pas Appel
13481023;;;CNIT Médical;21-04-2021;POSITIF;Pas Appel
13484770;7708,5;25695;CA;20-05-2021;NEGATIF;Pas Appel
13488707;19555,58;88889;CNIT Médical;25-02-2021;POSITIF;Pas Appel
13493704;1653,05;4723;CA;08-04-2021;NEGATIF;Pas Appel
13495483;23632,96;62192;TJ Médical;26-11-2021;POSITIF;Pas Appel
13498593;9766,68;44394;CNIT Médical;18-01-2021;POSITIF;Pas Appel
13513425;22680;84000;CNIT Médical;03-05-2021;POSITIF;Pas Appel
13519520;7609,35;21741;CNIT Médical;12-02-2021;NEGATIF;Pas Appel
13537123;32923,8;164619;CNIT Médical;05-07-2021;NEGATIF;Pas Appel
13540990;37501,2;125004;CNIT Médical;19-01-2021;NEGATIF;Pas Appel
13540991;19351,08;92148;CNIT Médical;11-06-2021;POSITIF;Pas Appel
13549778;10078,5377;91623,07;TJ;15-04-2021;POSITIF;Pas Appel
13549893;2355,98;21418;TJ;21-04-2022;POSITIF;Pas Appel
13549935;6376,59;57969;TJ;09-02-2021;NEGATIF;Pas Appel
13556749;9857,55;65717;CNIT Médical;10-02-2021;POSITIF;Pas Appel
13559537;49862,75;142465;TJ Médical;26-11-2021;POSITIF;Pas Appel
13559552;13223,6;66118;TJ Médical;23-04-2021;NEGATIF;Pas Appel
13560178;15529,6;77648;CNIT Médical;03-02-2021;POSITIF;Pas Appel
13561648;6602,4;33012;TJ;07-02-2022;NEGATIF;Pas Appel
13571099;13592,115;66303;CNIT Médical;30-04-2021;NEGATIF;Pas Appel
13572289;;;CNIT Médical;01-04-2021;POSITIF;Pas Appel
13574521;13291,68;83073;CNIT Médical;27-01-2021;NEGATIF;Pas Appel
13576589;16190,1;53967;TJ Médical;14-03-2022;POSITIF;Pas Appel
13580259;13848,9;46163;CNIT Médical;20-01-2021;POSITIF;Pas Appel
13587432;8694;48300;CNIT Médical;01-04-2021;POSITIF;Pas Appel
13591279;40430,4;134768;CNIT Médical;21-04-2021;POSITIF;Pas Appel
13603243;39150;78300;CNIT Médical;25-03-2021;POSITIF;Pas Appel
13606724;13043;65215;CNIT Médical;07-06-2021;POSITIF;Pas Appel
13609150;25049,75;100199;CNIT Médical;03-08-2021;POSITIF;Pas Appel
13613222;7654,4;23920;CNIT Médical;08-06-2021;POSITIF;Pas Appel
13615495;185303,16;661797;TJ;18-06-2021;POSITIF;Pas Appel
13615931;8401,4;42007;CNIT Médical;28-10-2021;NEGATIF;Pas Appel
13616303;59202,9;328905;CNIT Médical;01-04-2021;POSITIF;Pas Appel
13625314;31728,15;70507;TJ Médical;20-01-2022;NEGATIF;Pas Appel
13626414;41180,65;117659;CNIT Médical;19-02-2021;POSITIF;Pas Appel
13627184;43362,24;135507;CNIT Médical;08-01-2021;NEGATIF;Pas Appel
13632451;0;0;CNIT Médical;17-02-2021;NEGATIF;Pas Appel
13632475;;;CNIT Médical;21-04-2021;POSITIF;Pas Appel
13632840;25395,02;66829;TJ Médical;20-01-2022;NEGATIF;Pas Appel
13643446;0;0;CNIT Médical;20-07-2021;NEGATIF;Pas Appel
13647809;9738,89;42343;CNIT Médical;03-11-2021;NEGATIF;Pas Appel
13654087;23006,4;76688;CNIT Médical;21-04-2021;NEGATIF;Pas Appel
13654369;;;CNIT Médical;20-04-2021;POSITIF;Pas Appel
13654396;9666;53700;CNIT Médical;26-01-2021;NEGATIF;Pas Appel
13657012;22471,664;112358,32;CNIT Médical;20-09-2021;POSITIF;Pas Appel
13660300;18414;83700;CNIT Médical;03-08-2021;POSITIF;Pas Appel
13809423;31284,28975;178767,37;CNIT Médical;26-01-2021;POSITIF;Pas Appel
13809778;16707,84;52212;CNIT Médical;25-02-2022;POSITIF;Pas Appel
13809920;13639,5;45465;CNIT Médical;01-06-2021;POSITIF;Pas Appel
13810076;26680,08;95286;CNIT Médical;29-04-2021;POSITIF;Pas Appel
13817707;,3;1;CNIT Médical;16-03-2021;POSITIF;Pas Appel
13817730;15100,89;71909;CNIT Médical;01-04-2021;POSITIF;Pas Appel
13820407;0;0;CNIT Médical;09-06-2021;NEGATIF;Pas Appel
13820452;0;0;CNIT Médical;29-01-2021;NEGATIF;Pas Appel
13821396;19953,92;71264;CNIT Médical;08-04-2022;NEGATIF;Pas Appel
13829483;20828,7;69429;TJ Médical;20-01-2022;POSITIF;Pas Appel
13834310;17322,36;78738;CNIT Médical;04-06-2022;POSITIF;Pas Appel
13838763;0;0;CNIT Médical;20-12-2021;NEGATIF;Pas Appel
13850753;19171,971;71007,3;CNIT Médical;29-04-2021;POSITIF;Pas Appel
13853386;24525,55;70073;CNIT Médical;06-05-2021;POSITIF;Pas Appel
13863610;30517,2;108990;CNIT Médical;07-09-2021;POSITIF;Pas Appel
13866965;6750;27000;CNIT Médical;07-03-2022;NEGATIF;Pas Appel
13869882;33570,6;95916;CNIT Médical;10-09-2021;NEGATIF;Pas Appel
13882492;5207,615;25403;TJ;22-11-2021;NEGATIF;Pas Appel
13884402;4654,8;23274;CNIT Médical;10-02-2021;POSITIF;Pas Appel
13887374;15509,4;77547;TJ;24-06-2021;NEGATIF;Pas Appel
13901336;20522,14;100108;CNIT Médical;16-03-2021;POSITIF;Pas Appel
13920018;4950;15000;TJ Médical;12-05-2022;POSITIF;Pas Appel
13924059;;;CNIT Médical;12-05-2021;POSITIF;Pas Appel
13929035;5769,92;36062;CNIT Médical;19-07-2021;POSITIF;Pas Appel
13930333;;;CA;18-02-2022;POSITIF;Pas Appel
13930774;25585,35;73101;CNIT Médical;26-05-2021;NEGATIF;Pas Appel
13936796;10012,86;77022;CNIT Médical;31-03-2021;POSITIF;Pas Appel
13940822;40238,1;134127;CNIT Médical;16-07-2021;NEGATIF;Pas Appel
13943679;16607,4;55358;CNIT Médical;02-04-2021;NEGATIF;Pas Appel
13946182;16449,25;65797;CNIT Médical;05-07-2021;POSITIF;Pas Appel
13951504;12651,9;84346;CNIT Médical;11-10-2021;POSITIF;Pas Appel
13952956;18918;63060;CNIT Médical;27-10-2021;POSITIF;Pas Appel
13960138;189875,4;632918;CNIT Médical;09-07-2021;POSITIF;Pas Appel
13963776;24898,65;82995,5;CNIT Médical;18-05-2021;POSITIF;Pas Appel
13982013;13628,25;54513;TJ;19-10-2021;POSITIF;Pas Appel
13982150;7858,84;35722;TJ;23-06-2021;POSITIF;Pas Appel
13984533;23081,97;79593;CNIT Médical;22-04-2021;NEGATIF;Pas Appel
13985765;25840,5;86135;CNIT Médical;12-03-2021;NEGATIF;Pas Appel
13989072;26801,1;89337;CNIT Médical;07-01-2021;NEGATIF;Pas Appel
13990985;35830,55;102373;CNIT Médical;31-03-2021;POSITIF;Pas Appel
13997270;27000;90000;CNIT Médical;18-01-2021;NEGATIF;Pas Appel
14035465;6410,25;25641;CNIT Médical;30-05-2022;NEGATIF;Pas Appel
14036193;19324,2;64414;CNIT Médical;22-04-2021;POSITIF;Pas Appel
14041142;18756,75;75027;CNIT Médical;14-01-2021;POSITIF;Pas Appel
14041413;17328,75;69315;CNIT Médical;30-06-2022;NEGATIF;Pas Appel
14041525;4398;17592;CNIT Médical;02-06-2022;NEGATIF;Pas Appel
14042461;13490;67450;CNIT Médical;20-05-2021;POSITIF;Pas Appel
14042524;38290,686;127635,62;CNIT Médical;04-05-2021;POSITIF;Pas Appel
14043585;39854,92;142339;CNIT Médical;05-05-2021;POSITIF;Pas Appel
14044849;14261,52;67912;CNIT Médical;25-01-2022;POSITIF;Pas Appel
14044858;25278,4;72224;CNIT Médical;16-03-2021;POSITIF;Pas Appel
14047347;6523,8;21746;TJ;14-10-2021;POSITIF;Pas Appel
14047704;6086,49;26463;TJ Médical;17-12-2021;NEGATIF;Pas Appel
14054455;47917,45;136907;TJ Médical;20-01-2022;POSITIF;Pas Appel
14061803;14416,48;90103;CNIT Médical;09-07-2021;POSITIF;Pas Appel
14062041;21547,5;71825;CNIT Médical;06-05-2021;POSITIF;Pas Appel
14062196;16925,9255;153872,05;TJ;26-11-2021;POSITIF;Pas Appel
14062585;10080;50400;TJ Médical;24-03-2021;POSITIF;Pas Appel
14064335;20000,4;66668;CNIT Médical;10-09-2021;NEGATIF;Pas Appel
14064446;7392;29568;CNIT Médical;08-02-2021;POSITIF;Pas Appel
14064491;13574,25;54297;CNIT Médical;16-02-2021;NEGATIF;Pas Appel
14074890;11037,2;53840;CNIT Médical;22-09-2021;NEGATIF;Pas Appel
14075516;;;CNIT Médical;07-01-2021;NEGATIF;Pas Appel
14078430;;;CNIT Médical;02-12-2021;NEGATIF;Pas Appel
14079776;18653,7;62179;CNIT Médical;22-01-2021;POSITIF;Pas Appel
14081410;35702,4;119008;CNIT Médical;25-05-2021;POSITIF;Pas Appel
14088970;7746,69;36889;TJ;03-11-2021;NEGATIF;Pas Appel
14093811;16249,5;54165;CNIT Médical;29-01-2021;NEGATIF;Pas Appel
14095226;22980;76600;CNIT Médical;14-06-2022;NEGATIF;Pas Appel
14095399;5232,3;17441;TJ;24-05-2022;POSITIF;Pas Appel
14098529;5788,41;25167;CNIT Médical;09-07-2021;POSITIF;Pas Appel
14100127;11541,6;72135;CNIT Médical;08-03-2021;POSITIF;Pas Appel
14101683;14835,2;74176;CNIT Médical;21-06-2021;POSITIF;Pas Appel
14102195;15970,74;69438;TJ Médical;21-12-2021;NEGATIF;Pas Appel
14104895;;;CNIT Médical;16-03-2022;POSITIF;Pas Appel
14107903;18719,1;62397;CNIT Médical;16-03-2021;POSITIF;Pas Appel
14109671;32727,12;172248;CNIT Médical;12-04-2021;POSITIF;Pas Appel
14121316;41171,354;117632,44;CNIT Médical;06-05-2021;POSITIF;Pas Appel
14146375;26466,6;132333;CNIT Médical;20-10-2021;POSITIF;Pas Appel
14149712;59726,16;165906;CNIT Médical;30-09-2021;POSITIF;Pas Appel
14152253;9423,9;52355;CNIT Médical;05-02-2021;POSITIF;Pas Appel
14152468;14565,455;71051;CNIT Médical;13-01-2021;POSITIF;Pas Appel
14152947;8731,44;48508;CNIT Médical;11-03-2021;NEGATIF;Pas Appel
14154291;23755,2;84840;CNIT Médical;28-05-2021;NEGATIF;Pas Appel
14158332;14197,21;83513;CNIT Médical;19-05-2021;POSITIF;Pas Appel
14161754;16018,5744;88992,08;CNIT Médical;08-03-2021;POSITIF;Pas Appel
14167389;7953,4;34580;CNIT Médical;10-02-2021;POSITIF;Pas Appel
14167796;13967,58;63489;CNIT Médical;16-03-2021;POSITIF;Pas Appel
14404798;19785,04;89932;TJ Médical;12-02-2021;POSITIF;Pas Appel
14405514;38034,85;108671;TJ Médical;02-09-2021;POSITIF;Pas Appel
14407245;12420;54000;TJ Médical;19-07-2022;NEGATIF;Pas Appel
14408035;27648,25;78995;TJ Médical;09-09-2021;POSITIF;Pas Appel
14409663;6900;30000;TJ Médical;12-02-2021;NEGATIF;Pas Appel
14417342;14119,01;61387;TJ Médical;12-02-2021;POSITIF;Pas Appel
14418498;24769,5;70770;TJ Médical;02-09-2021;NEGATIF;Pas Appel
14426749;15717,05;68335;TJ Médical;17-12-2021;POSITIF;Pas Appel
14427410;6867;34335;TJ;15-11-2021;POSITIF;Pas Appel
14427855;12751,89;55443;TJ;10-05-2021;POSITIF;Pas Appel
14428142;3300,8;16504;CNIT Médical;20-04-2021;POSITIF;Pas Appel
14428265;13957,24;63442;TJ Médical;12-02-2021;NEGATIF;Pas Appel
14428819;14362,74;79793;CNIT Médical;26-05-2021;POSITIF;Pas Appel
